NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
256,128,8,log2,0.773333333,0.226666667
256,128,8,,0.746666667,0.253333333
256,128,16,sqrt,0.746666667,0.253333333
256,128,16,log2,0.753333333,0.246666667
256,128,16,,0.746666667,0.253333333
256,128,32,sqrt,0.746666667,0.253333333
256,128,32,log2,0.753333333,0.246666667
256,128,32,,0.746666667,0.253333333
256,128,64,sqrt,0.746666667,0.253333333
256,128,64,log2,0.753333333,0.246666667
256,128,64,,0.746666667,0.253333333
256,128,,sqrt,0.746666667,0.253333333
256,128,,log2,0.753333333,0.246666667
256,128,,,0.746666667,0.253333333
256,256,2,sqrt,0.633333333,0.366666667
256,256,2,log2,0.613333333,0.386666667
256,256,2,,0.606666667,0.393333333
256,256,4,sqrt,0.74,0.26
256,256,4,log2,0.713333333,0.286666667
256,256,4,,0.74,0.26
256,256,8,sqrt,0.78,0.22
256,256,8,log2,0.786666667,0.213333333
256,256,8,,0.733333333,0.266666667
256,256,16,sqrt,0.773333333,0.226666667
256,256,16,log2,0.78,0.22
256,256,16,,0.733333333,0.266666667
256,256,32,sqrt,0.773333333,0.226666667
256,256,32,log2,0.78,0.22
256,256,32,,0.733333333,0.266666667
256,256,64,sqrt,0.773333333,0.226666667
256,256,64,log2,0.78,0.22
256,256,64,,0.733333333,0.266666667
256,256,,sqrt,0.773333333,0.226666667
256,256,,log2,0.78,0.22
256,256,,,0.733333333,0.266666667
256,512,2,sqrt,0.646666667,0.353333333
256,512,2,log2,0.653333333,0.346666667
256,512,2,,0.573333333,0.426666667
256,512,4,sqrt,0.74,0.26
256,512,4,log2,0.746666667,0.253333333
256,512,4,,0.753333333,0.246666667
256,512,8,sqrt,0.78,0.22
256,512,8,log2,0.78,0.22
256,512,8,,0.753333333,0.246666667
256,512,16,sqrt,0.78,0.22
256,512,16,log2,0.766666667,0.233333333
256,512,16,,0.753333333,0.246666667
256,512,32,sqrt,0.78,0.22
256,512,32,log2,0.766666667,0.233333333
256,512,32,,0.753333333,0.246666667
256,512,64,sqrt,0.78,0.22
256,512,64,log2,0.766666667,0.233333333
256,512,64,,0.753333333,0.246666667
256,512,,sqrt,0.78,0.22
256,512,,log2,0.766666667,0.233333333
256,512,,,0.753333333,0.246666667
256,1024,2,sqrt,0.64,0.36
256,1024,2,log2,0.653333333,0.346666667
256,1024,2,,0.573333333,0.426666667
256,1024,4,sqrt,0.74,0.26
256,1024,4,log2,0.733333333,0.266666667
256,1024,4,,0.76,0.24
256,1024,8,sqrt,0.78,0.22
256,1024,8,log2,0.766666667,0.233333333
256,1024,8,,0.753333333,0.246666667
256,1024,16,sqrt,0.786666667,0.213333333
256,1024,16,log2,0.773333333,0.226666667
256,1024,16,,0.753333333,0.246666667
256,1024,32,sqrt,0.786666667,0.213333333
256,1024,32,log2,0.773333333,0.226666667
256,1024,32,,0.753333333,0.246666667
256,1024,64,sqrt,0.786666667,0.213333333
256,1024,64,log2,0.773333333,0.226666667
256,1024,64,,0.753333333,0.246666667
256,1024,,sqrt,0.786666667,0.213333333
256,1024,,log2,0.773333333,0.226666667
256,1024,,,0.753333333,0.246666667
256,2048,2,sqrt,0.64,0.36
256,2048,2,log2,0.646666667,0.353333333
256,2048,2,,0.58,0.42
256,2048,4,sqrt,0.753333333,0.246666667
256,2048,4,log2,0.746666667,0.253333333
256,2048,4,,0.74,0.26
256,2048,8,sqrt,0.78,0.22
256,2048,8,log2,0.786666667,0.213333333
256,2048,8,,0.76,0.24
256,2048,16,sqrt,0.78,0.22
256,2048,16,log2,0.786666667,0.213333333
256,2048,16,,0.76,0.24
256,2048,32,sqrt,0.78,0.22
256,2048,32,log2,0.786666667,0.213333333
256,2048,32,,0.76,0.24
256,2048,64,sqrt,0.78,0.22
256,2048,64,log2,0.786666667,0.213333333
256,2048,64,,0.76,0.24
256,2048,,sqrt,0.78,0.22
256,2048,,log2,0.786666667,0.213333333
256,2048,,,0.76,0.24
256,4096,2,sqrt,0.653333333,0.346666667
256,4096,2,log2,0.653333333,0.346666667
256,4096,2,,0.58,0.42
256,4096,4,sqrt,0.753333333,0.246666667
256,4096,4,log2,0.733333333,0.266666667
256,4096,4,,0.746666667,0.253333333
256,4096,8,sqrt,0.773333333,0.226666667
256,4096,8,log2,0.766666667,0.233333333
256,4096,8,,0.76,0.24
256,4096,16,sqrt,0.773333333,0.226666667
256,4096,16,log2,0.773333333,0.226666667
256,4096,16,,0.76,0.24
256,4096,32,sqrt,0.773333333,0.226666667
256,4096,32,log2,0.773333333,0.226666667
256,4096,32,,0.76,0.24
256,4096,64,sqrt,0.773333333,0.226666667
256,4096,64,log2,0.773333333,0.226666667
256,4096,64,,0.76,0.24
256,4096,,sqrt,0.773333333,0.226666667
256,4096,,log2,0.773333333,0.226666667
